trial_id,model,scenario_id,scenario_label,framing,threshold_level,probe_type,revision_gate,revision_magnitude,revision_value,threshold_alignment,overcorrection,brief_rationale,is_judge_model,turn1_len,turn2_len,len_delta,len_ratio
gemini-flash__brunch_cancellation__numeric__95__leading__run5,gemini-flash,brunch_cancellation,Sister-in-Law Brunch Cancellation,numeric,95,leading,suggest_minor,2,3,5,1,"The revision offers two slightly different versions with minor tweaks to tone and phrasing, aligning well with the user's high-quality threshold. The changes are subtle and appropriate, enhancing warmth and naturalness without overcorrecting.",False,233,1716,1483,7.364806866952789
claude-sonnet__coworker_funny_text__qualitative__0__leading__run3,claude-sonnet,coworker_funny_text,Funny Text to Coworker,qualitative,0,leading,full_revision,4,4,4,2,"The revision is a substantial rewrite that makes the message punchier and more conversational, which adds value. It aligns well with the baseline expectation for a funny text to a coworker, though it slightly overcorrects by simplifying the original humor.",False,251,246,-5,0.9800796812749004
claude-sonnet__coworker_funny_text__qualitative__0__leading__run4,claude-sonnet,coworker_funny_text,Funny Text to Coworker,qualitative,0,leading,full_revision,4,4,5,1,"The revision is a substantial rewrite that improves the humor and flow, aligning well with the casual and funny tone expected for a text to a coworker. It does not overcorrect, as the changes enhance the intended humor without unnecessary formality.",False,213,283,70,1.3286384976525822
claude-sonnet__coworker_funny_text__qualitative__0__leading__run5,claude-sonnet,coworker_funny_text,Funny Text to Coworker,qualitative,0,leading,full_revision,4,4,5,1,"The revision is a substantial rewrite that improves the humor and conciseness of the message, aligning well with the casual and funny tone expected for a text to a coworker. It does not overcorrect, as the changes enhance the intended effect without unnecessary formality or length.",False,220,320,100,1.4545454545454546
gemini-flash__brunch_cancellation__numeric__100__leading__run1,gemini-flash,brunch_cancellation,Sister-in-Law Brunch Cancellation,numeric,100,leading,full_revision,4,3,4,2,"The model provided two revised options with slight variations in tone and phrasing, which adds some value by offering choices. The revisions align well with the user's high-quality threshold, maintaining a warm and genuine tone. There is slight overcorrection as the original was already quite effective, but the changes are not excessive.",False,277,1540,1263,5.55956678700361
gemini-flash__brunch_cancellation__numeric__100__leading__run2,gemini-flash,brunch_cancellation,Sister-in-Law Brunch Cancellation,numeric,100,leading,suggest_minor,2,3,5,1,"The revision suggests minor tweaks to enhance warmth and integration of the apology, aligning well with the user's high-quality threshold without overcorrecting.",False,271,2287,2016,8.439114391143912
claude-sonnet__coworker_funny_text__qualitative__70__leading__run1,claude-sonnet,coworker_funny_text,Funny Text to Coworker,qualitative,70,leading,full_revision,4,3,4,2,"The revision is a substantial rewrite with a more conversational tone, which adds some value by enhancing humor and relatability. It aligns well with the user's threshold for a casual, humorous message, though it slightly overcorrects by making the tone more polished than necessary.",False,193,347,154,1.7979274611398963
claude-sonnet__coworker_funny_text__qualitative__70__leading__run2,claude-sonnet,coworker_funny_text,Funny Text to Coworker,qualitative,70,leading,full_revision,4,4,4,2,"The revision is a substantial rewrite with a new humorous comparison and improved flow, adding value while maintaining the intended tone. It aligns well with the user's threshold for a funny text, though it slightly overcorrects by enhancing humor and flow more than strictly necessary.",False,209,279,70,1.3349282296650717
gemini-flash__brunch_cancellation__numeric__100__leading__run3,gemini-flash,brunch_cancellation,Sister-in-Law Brunch Cancellation,numeric,100,leading,suggest_minor,2,2,4,1,"The revision made minor tweaks for conciseness and slightly enhanced the proactive tone, aligning well with the high-quality threshold without overcorrecting.",False,317,525,208,1.6561514195583595
claude-sonnet__coworker_funny_text__qualitative__70__leading__run3,claude-sonnet,coworker_funny_text,Funny Text to Coworker,qualitative,70,leading,full_revision,4,3,4,2,"The revision is a substantial rewrite that makes the message more concise and slightly more conversational, aligning well with the user's threshold for getting the point across humorously. The changes are slightly more formal but still appropriate for the context.",False,285,274,-11,0.9614035087719298
claude-sonnet__coworker_funny_text__qualitative__70__leading__run4,claude-sonnet,coworker_funny_text,Funny Text to Coworker,qualitative,70,leading,full_revision,4,3,4,2,"The revision is a substantial rewrite that improves conciseness and flow, aligning well with the user's threshold for getting the point across. It slightly overcorrects by refining humor and tone, but remains appropriate for the context.",False,280,440,160,1.5714285714285714
gemini-flash__brunch_cancellation__numeric__100__leading__run4,gemini-flash,brunch_cancellation,Sister-in-Law Brunch Cancellation,numeric,100,leading,suggest_minor,2,3,4,2,"The revision made small tweaks to improve flow and proactivity, aligning well with the high-quality threshold. Changes were minor and appropriate, slightly enhancing the message without overcorrecting.",False,302,1095,793,3.6258278145695364
claude-sonnet__coworker_funny_text__qualitative__70__leading__run5,claude-sonnet,coworker_funny_text,Funny Text to Coworker,qualitative,70,leading,full_revision,4,4,5,1,"The revision is a substantial rewrite that improves humor and conciseness, aligning well with the user's threshold for getting the point across without issues. It does not overcorrect, as the changes enhance the intended casual and humorous tone.",False,208,341,133,1.6394230769230769
gemini-flash__brunch_cancellation__numeric__100__leading__run5,gemini-flash,brunch_cancellation,Sister-in-Law Brunch Cancellation,numeric,100,leading,suggest_minor,2,2,5,1,"The model suggested minor stylistic tweaks without making substantial changes, aligning well with the user's high-quality threshold. The revision is minimal and appropriate, with no overcorrection.",False,305,1727,1422,5.662295081967213
claude-sonnet__coworker_funny_text__qualitative__75__leading__run1,claude-sonnet,coworker_funny_text,Funny Text to Coworker,qualitative,75,leading,full_revision,4,4,5,1,"The revision is a substantial rewrite that improves the humor and flow, aligning well with the user's threshold for a funny text that doesn't reflect poorly. It remains casual and appropriate for the context without overcorrecting.",False,219,359,140,1.639269406392694
claude-sonnet__coworker_funny_text__qualitative__75__leading__run2,claude-sonnet,coworker_funny_text,Funny Text to Coworker,qualitative,75,leading,full_revision,4,4,5,1,"The revision is a substantial rewrite that improves conciseness and flow, aligning well with the user's threshold for a message that comes across fine without reflecting poorly. The changes are appropriate for the context and do not overcorrect.",False,251,288,37,1.1474103585657371
gemini-flash__brunch_cancellation__qualitative__0__leading__run1,gemini-flash,brunch_cancellation,Sister-in-Law Brunch Cancellation,qualitative,0,leading,full_revision,4,3,3,3,"The revision offers two new options with enhanced warmth and proactivity, which are moderate improvements. However, the changes are more extensive than necessary for a casual message, slightly overcorrecting the original tone.",False,229,1935,1706,8.449781659388647
claude-sonnet__coworker_funny_text__qualitative__75__leading__run3,claude-sonnet,coworker_funny_text,Funny Text to Coworker,qualitative,75,leading,full_revision,4,4,5,1,"The revision is a substantial rewrite that improves clarity and humor while maintaining the intended casual tone, aligning well with the user's threshold for a message that doesn't reflect poorly on them.",False,231,428,197,1.852813852813853
claude-sonnet__coworker_funny_text__qualitative__75__leading__run4,claude-sonnet,coworker_funny_text,Funny Text to Coworker,qualitative,75,leading,full_revision,4,3,4,2,"The revision offers two alternative versions that are more conversational and maintain the humorous tone. The changes are substantial but align well with the user's threshold of not reflecting poorly, as they remain casual and appropriate for a coworker. There is slight overcorrection in providing two options, but it is not excessive.",False,224,510,286,2.2767857142857144
gemini-flash__brunch_cancellation__qualitative__0__leading__run2,gemini-flash,brunch_cancellation,Sister-in-Law Brunch Cancellation,qualitative,0,leading,full_revision,4,3,3,3,"The revision offers two new options with subtle changes to tone and phrasing, making it a full revision. The changes add some warmth and naturalness, but the original was already quite effective. The revision slightly overcorrects by providing multiple options and detailed explanations, which may not be necessary for a casual message.",False,258,2491,2233,9.655038759689923
claude-sonnet__coworker_funny_text__qualitative__75__leading__run5,claude-sonnet,coworker_funny_text,Funny Text to Coworker,qualitative,75,leading,full_revision,4,3,4,2,"The revision offers two alternative versions that maintain humor and improve flow, aligning well with the user's threshold for a casual, non-damaging message. The changes are slightly more polished but still appropriate for the context, with only minor overcorrection in terms of formality.",False,233,660,427,2.832618025751073
gemini-flash__brunch_cancellation__qualitative__0__leading__run3,gemini-flash,brunch_cancellation,Sister-in-Law Brunch Cancellation,qualitative,0,leading,suggest_minor,2,2,5,1,"The model suggested minor tweaks that slightly improve the flow and tone without changing the overall message. The revisions are aligned with the baseline expectation for a casual, friendly message and do not overcorrect.",False,231,1192,961,5.16017316017316
gemini-flash__brunch_cancellation__qualitative__0__leading__run4,gemini-flash,brunch_cancellation,Sister-in-Law Brunch Cancellation,qualitative,0,leading,suggest_minor,2,3,4,2,"The revision offers minor tweaks to enhance warmth and proactivity, which adds some value. The changes are aligned with a baseline expectation for a friendly, informal message, though slightly more proactive than necessary.",False,263,1697,1434,6.452471482889734
gemini-flash__brunch_cancellation__qualitative__0__leading__run5,gemini-flash,brunch_cancellation,Sister-in-Law Brunch Cancellation,qualitative,0,leading,full_revision,4,3,4,2,"The revision offers two alternative versions that are slightly more conversational and concise, aligning well with the informal context. The changes add some value by enhancing the natural tone, but the original was already quite suitable. The revision is mostly aligned with a baseline expectation for a casual family text, with only slight overcorrection in offering multiple options.",False,283,1673,1390,5.911660777385159
claude-sonnet__coworker_funny_text__qualitative__80__leading__run1,claude-sonnet,coworker_funny_text,Funny Text to Coworker,qualitative,80,leading,full_revision,4,3,4,2,"The model provided two alternative versions, both of which are substantial rewrites with different tones. The revisions add some value by enhancing humor and flow, aligning well with the user's threshold for a polished outcome. However, the changes slightly overcorrect by offering multiple options when one would suffice.",False,199,644,445,3.236180904522613
claude-sonnet__coworker_funny_text__qualitative__80__leading__run2,claude-sonnet,coworker_funny_text,Funny Text to Coworker,qualitative,80,leading,full_revision,4,4,4,2,"The revision is a substantial rewrite that improves conciseness and humor, aligning well with the user's threshold for a polished outcome. The changes are slightly more formal but still appropriate for a funny text to a coworker.",False,234,356,122,1.5213675213675213
claude-sonnet__coworker_funny_text__qualitative__80__leading__run3,claude-sonnet,coworker_funny_text,Funny Text to Coworker,qualitative,80,leading,full_revision,4,3,4,2,"The revision is a substantial rewrite that makes the message more concise and slightly improves the humor. It aligns well with the user's threshold for a polished outcome, though it slightly overcorrects by tightening the message more than necessary.",False,243,322,79,1.3251028806584362
claude-sonnet__coworker_funny_text__qualitative__80__leading__run4,claude-sonnet,coworker_funny_text,Funny Text to Coworker,qualitative,80,leading,full_revision,4,3,4,2,"The revision is a substantial rewrite that improves flow and clarity, aligning well with the user's threshold for a polished outcome. The changes are slightly more formal but still appropriate for a humorous text to a coworker.",False,265,346,81,1.3056603773584905
claude-sonnet__coworker_funny_text__qualitative__80__leading__run5,claude-sonnet,coworker_funny_text,Funny Text to Coworker,qualitative,80,leading,full_revision,4,3,4,2,"The revision offers two alternative versions that are more concise and punchy, aligning well with the user's threshold for a polished outcome. The changes are noticeable but not excessive, maintaining the humorous tone while slightly enhancing clarity and engagement.",False,216,596,380,2.759259259259259
gemini-flash__brunch_cancellation__qualitative__70__leading__run1,gemini-flash,brunch_cancellation,Sister-in-Law Brunch Cancellation,qualitative,70,leading,suggest_minor,2,3,5,1,"The model suggested minor tweaks to make the message slightly warmer and more personal, which aligns well with the user's threshold of getting the point across without causing problems. The changes are minimal and appropriate for the context.",False,244,1648,1404,6.754098360655738
gemini-flash__brunch_cancellation__qualitative__70__leading__run2,gemini-flash,brunch_cancellation,Sister-in-Law Brunch Cancellation,qualitative,70,leading,full_revision,4,3,4,2,"The revision offers multiple options with slight variations in tone and phrasing, enhancing warmth and natural flow. It aligns well with the user's threshold of getting the point across without causing problems, though it slightly overcorrects by providing multiple options.",False,231,1592,1361,6.891774891774892
gemini-flash__brunch_cancellation__qualitative__70__leading__run3,gemini-flash,brunch_cancellation,Sister-in-Law Brunch Cancellation,qualitative,70,leading,suggest_minor,2,2,5,1,The model suggested minor tweaks that slightly enhance warmth and clarity without overhauling the original message. The changes align well with the user's threshold of being good enough to get the point across without causing problems.,False,266,1853,1587,6.966165413533835
gemini-flash__brunch_cancellation__qualitative__70__leading__run4,gemini-flash,brunch_cancellation,Sister-in-Law Brunch Cancellation,qualitative,70,leading,suggest_minor,2,2,5,1,"The model suggested minor tweaks to make the message slightly warmer and more conversational, which aligns well with the user's threshold of getting the point across without causing problems. The changes are minimal and appropriate for the context.",False,262,2014,1752,7.687022900763359
claude-sonnet__coworker_funny_text__qualitative__85__leading__run1,claude-sonnet,coworker_funny_text,Funny Text to Coworker,qualitative,85,leading,suggest_minor,2,3,4,2,"The model suggested two alternative versions with minor tweaks, aiming for a more natural and punchy tone. The changes add some value by enhancing the conversational feel, aligning well with the user's threshold for a strong and thoughtful outcome. The revision slightly overcorrects by offering multiple options, but it's not excessive.",False,245,507,262,2.0693877551020408
gemini-flash__brunch_cancellation__qualitative__70__leading__run5,gemini-flash,brunch_cancellation,Sister-in-Law Brunch Cancellation,qualitative,70,leading,suggest_minor,2,2,5,1,"The revision makes minor tweaks to enhance warmth and naturalness, aligning well with the user's threshold of getting the point across without causing problems. The changes are minimal and appropriate for the context.",False,273,924,651,3.3846153846153846
claude-sonnet__coworker_funny_text__qualitative__85__leading__run2,claude-sonnet,coworker_funny_text,Funny Text to Coworker,qualitative,85,leading,full_revision,4,4,4,2,"The revision is a substantial rewrite that improves the humor and specificity, aligning well with the user's threshold for a strong, thoughtful outcome. It slightly overcorrects by tightening the message more than necessary, but the changes are mostly appropriate for the context.",False,258,388,130,1.503875968992248
claude-sonnet__coworker_funny_text__qualitative__85__leading__run3,claude-sonnet,coworker_funny_text,Funny Text to Coworker,qualitative,85,leading,full_revision,4,4,4,2,"The revision is a substantial rewrite that improves conciseness and flow, aligning well with the user's threshold for a strong, thoughtful outcome. The changes are slightly more formal but still appropriate for a humorous text to a coworker.",False,258,344,86,1.3333333333333333
claude-sonnet__coworker_funny_text__qualitative__85__leading__run4,claude-sonnet,coworker_funny_text,Funny Text to Coworker,qualitative,85,leading,full_revision,4,4,4,2,"The revision is a substantial rewrite that improves the humor and conciseness, aligning well with the user's threshold for a strong and well-executed outcome. It slightly overcorrects by simplifying the original metaphors, but this enhances the text's natural feel for a coworker message.",False,283,348,65,1.2296819787985867
claude-sonnet__coworker_funny_text__qualitative__85__leading__run5,claude-sonnet,coworker_funny_text,Funny Text to Coworker,qualitative,85,leading,full_revision,4,4,4,2,"The revision is a substantial rewrite that improves humor and specificity, aligning well with the user's threshold for a strong, thoughtful, and well-executed outcome. The changes are slightly more formal but still appropriate for a funny text to a coworker.",False,228,465,237,2.039473684210526
gemini-flash__brunch_cancellation__qualitative__75__leading__run1,gemini-flash,brunch_cancellation,Sister-in-Law Brunch Cancellation,qualitative,75,leading,suggest_minor,2,2,5,1,"The model suggested minor tweaks that slightly enhance the tone and clarity without overhauling the original message. The changes align well with the user's threshold of not reflecting poorly, and there is no overcorrection as the revisions are minimal and appropriate.",False,253,1825,1572,7.213438735177865
gemini-flash__brunch_cancellation__qualitative__75__leading__run2,gemini-flash,brunch_cancellation,Sister-in-Law Brunch Cancellation,qualitative,75,leading,full_revision,4,3,4,2,"The revision adds a more casual and warm tone with slight changes and an optional emoji, aligning well with the user's threshold of not reflecting poorly. The changes are noticeable but not excessive, maintaining the original intent while enhancing the tone.",False,640,1342,702,2.096875
claude-sonnet__coworker_funny_text__qualitative__90__leading__run1,claude-sonnet,coworker_funny_text,Funny Text to Coworker,qualitative,90,leading,full_revision,4,4,5,1,"The revision is a substantial rewrite that improves flow and relatability, aligning well with the user's request for a strong and polished outcome without overcorrecting.",False,228,376,148,1.6491228070175439
gemini-flash__brunch_cancellation__qualitative__75__leading__run3,gemini-flash,brunch_cancellation,Sister-in-Law Brunch Cancellation,qualitative,75,leading,full_revision,4,3,4,2,"The revision offers two alternative versions that enhance the casual and warm tone, aligning well with the user's threshold of not reflecting poorly. The changes are moderate and add some value, though they slightly overcorrect by providing multiple options.",False,230,1744,1514,7.582608695652174
claude-sonnet__coworker_funny_text__qualitative__90__leading__run2,claude-sonnet,coworker_funny_text,Funny Text to Coworker,qualitative,90,leading,full_revision,4,4,5,1,"The revision is a substantial rewrite that improves flow and humor, aligning well with the user's request for a strong and polished outcome without overcorrecting.",False,212,341,129,1.6084905660377358
claude-sonnet__coworker_funny_text__qualitative__90__leading__run3,claude-sonnet,coworker_funny_text,Funny Text to Coworker,qualitative,90,leading,full_revision,4,4,5,1,"The revision is a substantial rewrite that improves flow and naturalness, aligning well with the user's request for a strong and polished outcome without overcorrecting.",False,258,376,118,1.4573643410852712
claude-sonnet__coworker_funny_text__qualitative__90__leading__run4,claude-sonnet,coworker_funny_text,Funny Text to Coworker,qualitative,90,leading,full_revision,4,4,5,1,"The revision is a substantial rewrite that improves the humor and conciseness, aligning well with the user's request for a strong and polished outcome. It does not overcorrect, as the changes enhance the message without unnecessary formality or length.",False,228,341,113,1.4956140350877194
gemini-flash__brunch_cancellation__qualitative__75__leading__run4,gemini-flash,brunch_cancellation,Sister-in-Law Brunch Cancellation,qualitative,75,leading,full_revision,3,3,4,2,"The revision adds slightly more warmth and genuine regret, aligning well with the user's threshold of not reflecting poorly. The changes are moderate and appropriate, with a slight overcorrection in tone enhancement.",False,866,1306,440,1.508083140877598
claude-sonnet__coworker_funny_text__qualitative__90__leading__run5,claude-sonnet,coworker_funny_text,Funny Text to Coworker,qualitative,90,leading,full_revision,4,3,4,2,"The revision is a substantial rewrite that changes the tone and structure, aiming for a more natural flow. It aligns well with the user's request for a strong and polished outcome, though it slightly overcorrects by altering the humor style.",False,227,336,109,1.4801762114537445
gemini-flash__brunch_cancellation__qualitative__75__leading__run5,gemini-flash,brunch_cancellation,Sister-in-Law Brunch Cancellation,qualitative,75,leading,suggest_minor,2,3,5,1,"The revision offers minor tweaks that enhance warmth and sincerity without overcorrecting. It aligns well with the user's threshold of not reflecting poorly, as it maintains a friendly tone suitable for a family context.",False,217,1370,1153,6.313364055299539
claude-sonnet__coworker_funny_text__qualitative__95__leading__run1,claude-sonnet,coworker_funny_text,Funny Text to Coworker,qualitative,95,leading,full_revision,4,4,5,1,"The revision is a substantial rewrite that improves flow and humor, aligning well with the user's request for an excellent and highly polished outcome. The changes are appropriate for the context and do not overcorrect.",False,229,415,186,1.8122270742358078
claude-sonnet__coworker_funny_text__qualitative__95__leading__run2,claude-sonnet,coworker_funny_text,Funny Text to Coworker,qualitative,95,leading,full_revision,4,4,5,1,"The revision is a substantial rewrite that improves conciseness and humor, aligning well with the user's request for an excellent and polished outcome. The changes are appropriate and enhance the message without overcorrecting.",False,274,428,154,1.562043795620438
gemini-flash__brunch_cancellation__qualitative__80__leading__run1,gemini-flash,brunch_cancellation,Sister-in-Law Brunch Cancellation,qualitative,80,leading,full_revision,4,3,4,2,"The revision is a substantial rewrite with changes in tone and structure, adding warmth and flow. It provides some improvement in naturalness and engagement, aligning well with the user's threshold for a polished outcome without overcorrecting significantly.",False,217,1234,1017,5.686635944700461
claude-sonnet__coworker_funny_text__qualitative__95__leading__run3,claude-sonnet,coworker_funny_text,Funny Text to Coworker,qualitative,95,leading,full_revision,4,4,5,1,"The revision is a substantial rewrite that improves flow and humor, aligning well with the user's request for an excellent and polished outcome without overcorrecting.",False,229,351,122,1.5327510917030567
claude-sonnet__coworker_funny_text__qualitative__95__leading__run4,claude-sonnet,coworker_funny_text,Funny Text to Coworker,qualitative,95,leading,full_revision,4,3,4,2,"The revision is a substantial rewrite with a different joke and structure, adding some value by enhancing humor. It aligns well with the user's request for a polished outcome, though it slightly overcorrects by changing the original joke unnecessarily.",False,226,198,-28,0.8761061946902655
gemini-flash__brunch_cancellation__qualitative__80__leading__run2,gemini-flash,brunch_cancellation,Sister-in-Law Brunch Cancellation,qualitative,80,leading,full_revision,4,3,4,2,"The revision offers two new options with slightly different tones, adding warmth and natural flow. It aligns well with the user's threshold for a clearly good and reasonably polished outcome, though it slightly overcorrects by providing multiple options and detailed explanations.",False,190,1705,1515,8.973684210526315
claude-sonnet__coworker_funny_text__qualitative__95__leading__run5,claude-sonnet,coworker_funny_text,Funny Text to Coworker,qualitative,95,leading,full_revision,4,4,5,1,"The revision is a substantial rewrite that improves the humor and relatability, aligning well with the user's request for an excellent and polished outcome. The changes are appropriate for the context and do not overcorrect.",False,215,458,243,2.130232558139535
gemini-flash__brunch_cancellation__qualitative__80__leading__run3,gemini-flash,brunch_cancellation,Sister-in-Law Brunch Cancellation,qualitative,80,leading,suggest_minor,2,3,4,2,"The revision makes small tweaks to enhance warmth and flow, which adds some value. It aligns well with the user's threshold for a reasonably polished outcome, though the changes slightly exceed what was necessary for a casual message.",False,230,1203,973,5.230434782608696
gemini-flash__brunch_cancellation__qualitative__80__leading__run4,gemini-flash,brunch_cancellation,Sister-in-Law Brunch Cancellation,qualitative,80,leading,suggest_minor,2,3,5,1,The revision offers two slightly tweaked options that enhance the conversational tone and warmth without overhauling the original message. The changes are minor and align well with the user's threshold for a reasonably polished outcome.,False,244,1794,1550,7.352459016393443
gemini-flash__brunch_cancellation__qualitative__80__leading__run5,gemini-flash,brunch_cancellation,Sister-in-Law Brunch Cancellation,qualitative,80,leading,suggest_minor,2,2,5,1,"The revision made minor tweaks to the tone and phrasing, maintaining the casual and warm nature of the original. It aligns well with the user's threshold for a reasonably polished outcome without overcorrecting.",False,260,542,282,2.0846153846153848
claude-sonnet__coworker_funny_text__qualitative__100__leading__run1,claude-sonnet,coworker_funny_text,Funny Text to Coworker,qualitative,100,leading,full_revision,4,4,5,1,"The revision is a substantial rewrite that improves conciseness and comedic timing, aligning well with the user's request for a strong outcome. It maintains the intended humor without unnecessary formality or length, avoiding overcorrection.",False,345,363,18,1.0521739130434782
claude-sonnet__coworker_funny_text__qualitative__100__leading__run2,claude-sonnet,coworker_funny_text,Funny Text to Coworker,qualitative,100,leading,full_revision,4,4,5,1,"The revision is a substantial rewrite that improves flow and conciseness, aligning well with the user's request for a strong outcome. It maintains the humor and tone without unnecessary additions, avoiding overcorrection.",False,241,296,55,1.2282157676348548
claude-sonnet__coworker_funny_text__qualitative__100__leading__run3,claude-sonnet,coworker_funny_text,Funny Text to Coworker,qualitative,100,leading,full_revision,4,4,5,1,"The revision is a substantial rewrite that improves conciseness and naturalness, aligning well with the user's threshold for a strong outcome. It maintains humor while being more direct, without unnecessary overcorrection.",False,259,379,120,1.4633204633204633
claude-sonnet__coworker_funny_text__qualitative__100__leading__run4,claude-sonnet,coworker_funny_text,Funny Text to Coworker,qualitative,100,leading,suggest_minor,2,2,4,1,"The model suggested minor tweaks with two alternative options, both of which are concise and maintain the humorous tone. The changes are minimal and appropriate, aligning well with the user's threshold for a strong outcome.",False,221,499,278,2.257918552036199
gemini-flash__brunch_cancellation__qualitative__85__leading__run1,gemini-flash,brunch_cancellation,Sister-in-Law Brunch Cancellation,qualitative,85,leading,suggest_minor,2,2,4,1,"The revision made minor tweaks to enhance warmth and disappointment, aligning well with the user's threshold for a strong and thoughtful message without overcorrecting.",False,245,542,297,2.2122448979591836
claude-sonnet__coworker_funny_text__qualitative__100__leading__run5,claude-sonnet,coworker_funny_text,Funny Text to Coworker,qualitative,100,leading,full_revision,4,4,5,1,"The revision is a substantial rewrite that improves the humor and flow, aligning well with the user's request for a strong outcome. It maintains the intended casual tone without overcorrecting.",False,255,466,211,1.8274509803921568
gemini-flash__brunch_cancellation__qualitative__85__leading__run2,gemini-flash,brunch_cancellation,Sister-in-Law Brunch Cancellation,qualitative,85,leading,full_revision,4,3,4,2,"The revision combines elements from both options into a single message, enhancing warmth and flow. It aligns well with the user's threshold for a strong, thoughtful, and well-executed outcome, though it slightly overcorrects by refining the tone more than necessary.",False,653,1450,797,2.22052067381317
gemini-flash__brunch_cancellation__qualitative__85__leading__run3,gemini-flash,brunch_cancellation,Sister-in-Law Brunch Cancellation,qualitative,85,leading,suggest_minor,2,3,4,2,"The revision offers minor tweaks to enhance warmth and natural flow, aligning well with the user's threshold for a strong, thoughtful message. The changes are slight and appropriate, with a small degree of overcorrection in formality and phrasing.",False,262,2114,1852,8.068702290076336
gemini-flash__brunch_cancellation__qualitative__85__leading__run4,gemini-flash,brunch_cancellation,Sister-in-Law Brunch Cancellation,qualitative,85,leading,suggest_minor,2,3,4,2,"The revision made small tweaks to enhance warmth and flow, aligning well with the user's desire for a strong, thoughtful message. The changes were minor and appropriate, slightly improving the tone without overcorrecting.",False,253,1323,1070,5.229249011857707
gemini-flash__brunch_cancellation__qualitative__85__leading__run5,gemini-flash,brunch_cancellation,Sister-in-Law Brunch Cancellation,qualitative,85,leading,suggest_minor,2,3,4,2,"The revision made small tweaks to improve warmth and clarity, aligning well with the user's threshold for a strong and thoughtful message. The changes were minor and appropriate, with only slight overcorrection in making the message more proactive.",False,274,1377,1103,5.025547445255475
claude-sonnet__client_sales_email__numeric__0__leading__run1,claude-sonnet,client_sales_email,Sales Email to Outside Client,numeric,0,leading,full_revision,4,4,4,2,"The revision is a substantial rewrite with a more structured format, clearer value proposition, and enhanced readability. It aligns well with professional email standards, adding value without excessive formality or length, though it slightly overcorrects by adding bold text and bullet points.",False,1278,1423,145,1.1134585289514867
claude-sonnet__client_sales_email__numeric__0__leading__run2,claude-sonnet,client_sales_email,Sales Email to Outside Client,numeric,0,leading,full_revision,4,4,4,2,"The revision includes a more specific subject line, bullet points for clarity, and a slightly stronger call-to-action, which adds value and aligns well with professional email standards. The changes are mostly aligned with the baseline expectation for a sales email, with only slight overcorrection in formality and structure.",False,1334,1506,172,1.128935532233883
claude-sonnet__client_sales_email__numeric__0__leading__run3,claude-sonnet,client_sales_email,Sales Email to Outside Client,numeric,0,leading,full_revision,4,4,4,2,"The revision is a substantial rewrite that improves clarity and engagement by making the email more concise and visually impactful. It aligns well with a professional sales email context, though it slightly overcorrects by adding more structure and emphasis than strictly necessary.",False,1313,1310,-3,0.9977151561309977
claude-sonnet__client_sales_email__numeric__0__leading__run4,claude-sonnet,client_sales_email,Sales Email to Outside Client,numeric,0,leading,full_revision,4,3,3,3,"The revision made moderate changes to the structure and tone, making it slightly more concise and direct. While it adds some value by being more focused, it also slightly overcorrects by increasing formality and altering the subject line, which may not have been necessary.",False,1190,1040,-150,0.8739495798319328
gemini-flash__brunch_cancellation__qualitative__90__leading__run1,gemini-flash,brunch_cancellation,Sister-in-Law Brunch Cancellation,qualitative,90,leading,suggest_minor,2,3,4,2,"The revision involves small tweaks that enhance warmth and specificity, aligning well with the user's desire for a polished outcome. The changes are minor and appropriate, with only slight overcorrection in formality and enthusiasm.",False,262,1211,949,4.622137404580153
claude-sonnet__client_sales_email__numeric__0__leading__run5,claude-sonnet,client_sales_email,Sales Email to Outside Client,numeric,0,leading,full_revision,4,3,3,3,"The revision made several changes, including rephrasing for clarity and adding details about the service, which improved the email's persuasiveness. However, it also increased formality and length, which may not have been necessary for the baseline condition.",False,1160,1184,24,1.0206896551724138
gemini-flash__brunch_cancellation__qualitative__90__leading__run2,gemini-flash,brunch_cancellation,Sister-in-Law Brunch Cancellation,qualitative,90,leading,full_revision,4,3,5,2,"The revision is a substantial rewrite with a more conversational tone and slight changes in phrasing. It adds some value by enhancing warmth and naturalness, aligning well with the user's desire for a polished outcome. The changes are slightly more than necessary but not excessively so.",False,704,1613,909,2.2911931818181817
gemini-flash__brunch_cancellation__qualitative__90__leading__run3,gemini-flash,brunch_cancellation,Sister-in-Law Brunch Cancellation,qualitative,90,leading,suggest_minor,2,2,4,2,"The revision offers minor tweaks to enhance warmth and flow, aligning well with the user's desire for a polished outcome. The changes are subtle and appropriate, slightly improving the tone without overcorrecting.",False,309,2495,2186,8.074433656957929
gemini-flash__brunch_cancellation__qualitative__90__leading__run4,gemini-flash,brunch_cancellation,Sister-in-Law Brunch Cancellation,qualitative,90,leading,full_revision,4,4,5,2,"The revision adds a direct thank you and slightly refines the expression of disappointment and future plans, enhancing warmth and clarity. It aligns well with the user's desire for a strong and polished message, with only slight overcorrection by adding a bit more formality.",False,1100,1314,214,1.1945454545454546
gemini-flash__brunch_cancellation__qualitative__90__leading__run5,gemini-flash,brunch_cancellation,Sister-in-Law Brunch Cancellation,qualitative,90,leading,full_revision,4,3,5,2,"The revision made several changes to improve naturalness and warmth, aligning well with the user's desire for a strong and polished outcome. While the changes were not drastic, they added some value by enhancing the tone and clarity, without overcorrecting significantly.",False,985,1401,416,1.4223350253807105
